Site,Good,Bad,State,Bad Tags
conotton/wells/well_2;RH_CONOTTON_E_MRF_HR_8H,32,5,Needs work,
conotton/wells/well_3;RH_CONOTTON_E_MRF_HR_6H,29,6,Needs work,
conotton/wells/well_4;RH_CONOTTON_E_MRF_HR_4H,31,6,Needs work,
conotton/wells/well_5;RH_CONOTTON_W_MRF_HR_2H,24,14,Needs work,
Pad Total (conotton):274
cook/pad;COOK_RCH_BL,37,3,Close,
cook/wells/well_1;COOK_UNIT_2H,15,8,Needs work,
cook/wells/well_2;COOK_S_RCH_BL_4H,47,7,Needs work,
cook/wells/well_3;COOK_UNIT_RCH_BL_6H,47,7,Needs work,
Pad Total (cook):171
corder/pad;CORDER_NTG_HR,52,8,Needs work,
corder/wells/well_1;CORDER_W_NTG_HR_2H,31,7,Needs work,
corder/wells/well_2;CORDER_W_NTG_HR_4H,23,15,Needs work,
corder/wells/well_3;CORDER_E_NTG_HR_6H-A,24,14,Needs work,
Pad Total (corder):189
cravat/pad;CRAVAT_COAL_SHC_HR,94,10,Needs work,
cravat/wells/well_1;CRAVAT_COAL_SHC_HR_2H,42,26,Needs work,
cravat/wells/well_10;CRAVAT_COAL_N_SHC_HR_9H-A,28,4,Close,
cravat/wells/well_2;CRAVAT_COAL_SHC_HR_4H,30,6,Needs work,
cravat/wells/well_3;CRAVAT_COAL_SHC_HR_6H,32,6,Needs work,
cravat/wells/well_4;CRAVAT_COAL_SHC_HR_8H,32,6,Needs work,
cravat/wells/well_5;CRAVAT_COAL_W_SHC_HR_1H,30,6,Needs work,
cravat/wells/well_6;CRAVAT_COAL_W_SHC_HR_3H,28,7,Needs work,
cravat/wells/well_7;CRAVAT_COAL_NW_SHC_HR_5H,29,7,Needs work,
cravat/wells/well_8;CRAVAT_COAL_N_SHC_HR_7H,28,7,Needs work,
cravat/wells/well_9;CRAVAT_COAL_NE_SHC_HR_11H,28,4,Close,
Pad Total (cravat):551
cravat_north/pad;CRAVAT_N_WHL_BL,64,15,Needs work,
cravat_north/wells/well_1;CRAVAT_S_WHL_BL_4H,33,7,Needs work,
cravat_north/wells/well_2;CRAVAT_S_WHL_BL_2H,32,8,Needs work,
cravat_north/wells/well_3;CRAVAT_N_WHL_BL_1H,32,8,Needs work,
cravat_north/wells/well_4;CRAVAT_N_WHL_BL_3H-A,32,8,Needs work,
Pad Total (cravat_north):259
creamer/pad;CREAMER_WRN_JF,32,7,Needs work,
creamer/wells/well_1;CREAMER_25-5-2_3H,19,3,Close,
Pad Total (creamer):62
cricket/pad;CRICKET_SHC_HR,59,0,Perfect!,
cricket/wells/well_1;CRICKET_E_SHC_HR_5H,41,7,Needs work,
cricket/wells/well_2;CRICKET_SHC_HR_3H,36,5,Needs work,
cricket/wells/well_3;CRICKET_W_SHC_HR_1H,37,5,Needs work,
Pad Total (cricket):205
cross_creek/pad;CROSS_CREEK_A_CRC_JF_H,0,29,Unable to Process!
cross_creek/wells/well_1;NAC_4H-20,0,2,Unable to Process!
cross_creek/wells/well_2;NAC_3H-20,0,2,Unable to Process!
cross_creek/wells/well_3;CROSS_CREEK_A_5H-20,0,2,Unable to Process!
cross_creek/wells/well_4;CROSS_CREEK_A_SW_CRC_JF_2H,0,0,Unable to Process!
